Lat,Lon
40.7298,-73.9898
40.8074,-74.1172
40.7562,-73.9768
40.7956,-73.974
40.7178,-73.9905
40.7418,-73.9847
40.7581,-73.9866
40.7687,-73.964
40.725,-73.9994
40.7516,-73.9854
40.7642,-73.9708
40.759,-73.9782
40.7141,-73.9603
40.6879,-73.9954
40.789,-73.978
40.7616,-73.9824
40.7573,-73.9637
40.6975,-73.916
40.7843,-73.9556
40.7249,-73.9992
40.7299,-73.9916
40.7614,-73.9726
40.7335,-74.0064
40.7263,-74.009
40.748,-73.9809
40.7637,-73.9754
40.7539,-73.9844
40.7593,-73.98
40.7503,-73.9718
40.7494,-73.9923
40.7589,-73.9722
40.7371,-74.0014
40.7292,-74.0025
40.7495,-73.9918
40.78,-73.9609
40.7709,-73.8658
40.7681,-73.9666
40.7118,-74.0055
40.7331,-73.9928
40.7478,-74.0046
40.718,-74.0148
40.7571,-73.9835
40.7639,-73.9782
40.7213,-73.9877
40.6901,-73.9802
40.7411,-73.9878
40.7382,-73.9855
40.7551,-73.9651
40.7288,-74.0347
40.7348,-73.9966
40.745,-73.9886
40.794,-73.9667
40.7233,-73.9997
40.7606,-73.991
40.7406,-74.0057
40.7535,-73.9851
40.7236,-74.0112
40.7443,-74.0355
40.7421,-73.9911
40.8272,-73.9251
40.6227,-74.0282
40.7649,-73.9665
40.75,-74.0056
40.7266,-74.0013
40.7198,-73.9857
40.7423,-74.0044
40.7475,-74.0366
40.6671,-73.662
40.7882,-73.9763
40.7537,-73.9771
40.7667,-73.9868
40.7549,-73.9637
40.7709,-73.8658
40.7489,-73.9729
40.7735,-73.9571
40.732,-73.9881
40.7823,-73.9729
40.6945,-74.1777
40.7586,-73.9814
40.7274,-73.9937
40.7327,-73.9884
40.732,-74.0076
40.7732,-73.9581
40.7346,-74.0013
40.7386,-73.9875
40.7035,-74.0116
40.7418,-73.9763
40.7432,-73.9934
40.7424,-74.0043
40.7493,-73.9754
40.7287,-73.9877
40.756,-73.989
40.7188,-74.034
40.7697,-73.9516
40.7246,-73.9996
40.7349,-73.9886
40.7247,-74.0078
40.7766,-73.9626
40.7479,-73.9853
40.7025,-73.9847
40.8804,-73.8838
40.7217,-73.958
40.7771,-73.9463
40.7637,-73.9786
40.7868,-73.981
40.7404,-73.982
40.7222,-73.9917
40.777,-73.9822
40.735,-73.989
40.7344,-73.9898
40.7274,-73.9935
40.7932,-73.9747
40.7566,-73.9823
40.7264,-74.0058
40.7842,-73.9568
40.7772,-73.9552
40.7699,-73.9589
40.762,-73.9675
40.7256,-74.0043
40.7287,-74.0002
40.6956,-74.1784
40.7428,-73.9927
40.7691,-73.9852
40.7175,-74.0154
40.7236,-73.9822
40.7644,-73.9729
40.7648,-73.9811
40.739,-74.0081
40.7167,-74.0093
40.742,-74.0038
40.7404,-73.9966
40.7686,-73.9574
40.7047,-74.0118
40.7413,-74.0014
40.7407,-73.9837
40.7417,-73.9856
40.7648,-73.9685
40.7459,-73.9801
40.7597,-73.9768
40.735,-73.9942
40.7663,-73.9685
40.7338,-73.9431
40.9595,-74.0347
40.7506,-73.9393
40.7195,-74.0042
40.726,-74.0055
40.7633,-73.9741
40.7306,-74.009
40.7591,-73.9747
40.7496,-73.9953
40.6658,-73.9573
40.763,-73.9695
40.773,-73.9647
40.761,-73.9733
40.7376,-74.0033
40.7699,-73.8644
40.7479,-73.9809
40.7436,-74.0035
40.7545,-73.9865
40.778,-73.9781
40.7712,-73.9595
40.7544,-73.9834
40.8563,-73.9692
40.7739,-73.8715
40.7297,-73.9848
40.7631,-73.9718
40.7602,-73.973
40.7522,-73.9856
40.7591,-73.9723
40.7644,-73.9634
40.7092,-74.0161
40.7447,-73.972
40.7377,-74.0096
40.7213,-73.9936
40.7567,-73.9902
40.78,-73.947
40.7392,-73.9913
40.7249,-74.0077
40.8018,-73.9669
40.748,-73.9915
40.7231,-74.0
40.7684,-73.8625
40.7334,-73.9799
40.7375,-74.0092
40.7288,-73.99
40.7395,-74.0078
40.7983,-73.9527
40.6217,-73.9291
40.7593,-73.9809
40.7095,-73.9609
40.7616,-73.973
40.7516,-73.9822
40.7514,-73.9822
40.741,-73.9847
40.7323,-73.9947
40.775,-73.9628
40.7591,-73.996
40.7683,-73.8621
40.7571,-73.9775
40.6928,-73.937
40.7358,-73.9938
40.785,-73.9707
40.7685,-73.8624
40.7279,-73.9862
40.7408,-73.9975
40.7498,-74.0062
40.7483,-74.0056
40.7434,-74.0073
40.7595,-73.9874
40.7546,-73.9736
40.8547,-73.8884
40.7793,-73.9774
40.745,-73.9922
40.7277,-73.9927
40.7596,-73.9855
40.8725,-73.8931
40.7686,-73.9578
40.7427,-74.038
40.6947,-74.1773
40.7708,-73.9799
40.6882,-73.9467
40.7512,-73.9756
40.7745,-73.9639
40.7541,-73.9872
40.776,-73.9573
40.7575,-73.9846
40.7615,-73.9939
40.6895,-73.9693
40.7268,-73.9997
40.7505,-73.9768
40.753,-74.0238
40.7717,-73.9825
40.7265,-74.0024
40.7561,-73.973
40.7832,-73.9566
40.7113,-74.0063
40.7618,-73.9752
40.7367,-73.9892
40.7353,-73.9879
40.7331,-73.9999
40.6959,-73.994
