track_id,track_name,track_artist,playlist_genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,cluster,prob_cluster_0,prob_cluster_1,prob_cluster_2,prob_cluster_3
7nMrNxioYZvJDHkklyO1Cn,We Hear You,Travel With The Sun,rock,0.485,0.512,9,-7.069,1,0.034,0.00826,0.0,0.103,0.33,145.932,2,0.014242138061584798,0.00018156895419142464,0.985560118098179,1.6174886044661037e-05
6te1QldCR1BWiNgwZADpu4,A1,DARKSIDE,pop,0.718,0.287,11,-12.835,0,0.181,0.489,0.836,0.0995,0.118,176.112,3,0.0,0.0,0.0,1.0
4mNOezZPgOhiVLf0T3U2H2,By Your Side,Lucas Estrada,latin,0.654,0.803,10,-5.137,1,0.0544,0.254,0.000993,0.579,0.517,119.991,0,0.9963826602297825,5.044896993776001e-80,5.823135467519704e-05,0.0035591084155428155
7piXNyrajEfqhOkzgDq2Ts,Me llama,Beret,latin,0.682,0.55,1,-5.91,1,0.105,0.175,0.0,0.116,0.271,90.727,0,0.7971483251780758,2.7306864177915472e-40,0.2024889387839307,0.00036273603799341755
0LQmFbjbesF6XNwn427exG,Mad Love - Cheat Codes Remix,Sean Paul,edm,0.524,0.709,4,-4.034,0,0.254,0.0195,0.0,0.0776,0.315,97.63,0,0.9999098436648017,3.8554350004885907e-22,5.376346184931865e-17,9.015633519823161e-05
3LvPRA6n1Hr3ia6tGfScg6,Me Chama,MC Maneirinho,rap,0.669,0.704,2,-5.699,0,0.0883,0.432,0.0,0.205,0.402,129.913,0,0.9995715301868402,5.862573080874281e-246,2.619750206303395e-07,0.00042820783813892627
3x1v32I3SZNvC7q7bDhcGm,Black Water - 45 Version,The Doobie Brothers,rock,0.543,0.307,2,-18.253,1,0.0414,0.334,0.0,0.044,0.649,168.169,0,0.9982280978102741,6.278185685558953e-148,0.0010387281533730459,0.0007331740363531228
4xb8JHIN56xixSl6vkSPjm,Siren,Kailee Morgue,pop,0.603,0.512,10,-6.687,0,0.0402,0.454,0.00014,0.154,0.271,145.91,0,0.9996855548221808,3.105123618127893e-272,8.433158973880266e-08,0.0003143608462294397
6LsAAHotRLMOHfCsSfYCsz,If I Can't Have You,Shawn Mendes,pop,0.692,0.809,2,-4.198,1,0.0602,0.524,0.0,0.147,0.864,123.911,0,0.9994461463035808,0.0,2.877671438954856e-10,0.0005538534086518086
2tCSrGNARBfix0duHMLkGF,Another You (feat. Mr. Probz) - Pretty Pink Radio Edit,Armin van Buuren,pop,0.742,0.589,6,-6.554,0,0.0308,0.224,0.00052,0.336,0.274,122.028,0,0.8741289907223686,1.0049855573128435e-61,0.1254696355092606,0.0004013737683712755
1CT1dgsDKm4n0ykVyoBj3R,Overflow(変身),YonYon,pop,0.917,0.6,6,-5.362,1,0.0483,0.296,0.00159,0.0469,0.659,120.001,2,0.003968236056903386,1.0511031050671716e-105,0.6515394961524539,0.3444922677906428
4UkynNKM3QAFnYukL8Udi6,Helplessness Blues,Fleet Foxes,pop,0.324,0.463,8,-7.247,1,0.0336,0.0781,5.63e-06,0.103,0.2,125.295,2,0.022590230793209338,7.150951525309206e-11,0.9773673859406783,4.2383194602697635e-05
5Q3e16qE1RE5oilN3ukasm,Luz Apaga,Ozuna,latin,0.611,0.791,1,-3.558,1,0.173,0.19,3.02e-06,0.12,0.658,192.07,0,0.9998608794599931,3.310269245653298e-56,1.3677453941975167e-05,0.00012544308606495013
2QeCyjLDJ6qDJsCyofrEW9,Polynesia,Gazzelle,r&b,0.783,0.726,11,-5.052,1,0.0965,0.0291,2.62e-06,0.0548,0.584,124.993,2,0.07483528861623498,0.0006065899328800669,0.9245041260619622,5.3995388922759185e-05
2cOpRVjsE4qZLZbFOB47VJ,L.A. Boyz,Victorious Cast,pop,0.616,0.91,8,-3.316,0,0.124,0.0109,0.0,0.0806,0.714,150.038,2,0.3045449946542713,0.0011120144994598141,0.6941112735375671,0.00023171730870181226
2DAULesb1U4Qz4FSTZpEUJ,Por Fin Te Encontré,Cali Y El Dandee,latin,0.645,0.821,11,-3.679,1,0.213,0.0492,0.0,0.193,0.844,179.968,0,0.9998555143141277,3.61497888960828e-15,1.0748598423942073e-08,0.00014447493727024426
0uLdF7n18IFclndsRWaqx0,Ersatzteil,Feindflug,pop,0.601,0.957,7,-5.598,1,0.0409,0.000244,0.904,0.106,0.332,135.008,1,0.0,0.9992746987964435,0.0,0.0007253012035568744
2ze3FsjHLwoT18zzAP6SMM,Starbreaker,Judas Priest,rock,0.386,0.847,6,-4.487,0,0.0965,0.00482,1.15e-06,0.0509,0.765,142.73,2,0.04457881977089221,0.003901965213054016,0.9514556390365061,6.357597954764483e-05
6Nq5N6GC5Ik5mteYWlpgKp,SHADOW CITY,Akira Terao,r&b,0.381,0.617,8,-12.336,0,0.0307,0.366,0.845,0.283,0.582,86.457,3,0.0,1.0379604452241924e-178,0.0,1.0
5FAK7GY5W3PUBPLkJ6R2wq,Rewind,Louis Futon,edm,0.693,0.664,7,-5.352,1,0.0793,0.206,0.0,0.124,0.542,96.13,2,0.3609903398073369,1.5068020636344167e-53,0.6388552958471456,0.00015436434551735956
2eIRE17ugmqHEjDbXWCalr,Beautiful Mind,Cormega,rap,0.785,0.626,5,-5.505,1,0.33,0.073,0.0,0.0806,0.695,88.013,0,0.9999871391396231,3.6646303622829514e-43,4.385453845448351e-33,1.2860860377001974e-05
3ei99dge15PXGB99SCSA4y,I Will,Alison Krauss,r&b,0.554,0.22,1,-13.842,1,0.0285,0.891,0.00723,0.1,0.582,109.548,3,1.0356056859681334e-113,0.0,5.027275240655831e-89,1.0
6lDMHbUSuk5RhtmBSJuKZ4,Promise Me,Ballin Entertainment,latin,0.709,0.575,6,-12.834,1,0.122,0.00496,6.61e-06,0.127,0.608,128.99,0,0.814330274766542,3.935017269732277e-05,0.18518435938255887,0.000446015678202118
1aV0ZqbXNmODdF2MqLD8Av,Pa Los Files,"Osmani Garcia ""La Voz""",latin,0.733,0.714,1,-10.638,1,0.219,0.127,0.0,0.0899,0.844,164.011,0,0.9998752344361561,3.2615328692085175e-33,3.512177818891236e-10,0.00012476521262621442
4gaz3uvhKgO078XcdzyPsl,Money To Blow - Street Version,Birdman,rap,0.708,0.578,6,-8.686,1,0.0631,0.0095,0.0,0.353,0.696,133.03,2,0.36225520632812497,0.004298856989484695,0.6333534446807847,9.249200160556649e-05
4e6YIJBmRfCEdzPyhG0RiH,Payaso de rodeo,Caballo Dorado,latin,0.683,0.838,2,-9.433,1,0.0358,0.0355,0.00157,0.0627,0.874,115.879,2,1.0136543706353165e-05,0.10151642348636493,0.8953620574030446,0.0031113825668843726
5qL0q7I7Cx4PmzjsErLTT2,Temple,SwuM,rap,0.645,0.739,5,-6.707,0,0.0429,0.836,0.925,0.384,0.127,87.976,3,0.0,0.0,0.0,1.0
437h9GRi70A1BzMzh4cyra,From Finner,Of Monsters and Men,pop,0.375,0.657,8,-6.661,0,0.0251,0.0161,0.00115,0.13,0.182,96.041,2,0.0002815897640512222,0.0019617675231088164,0.997592721070757,0.0001639216420826088
2gM3JL6l1INKPh0vf0c8I7,If You Want Me to Stay,Eric Benét,r&b,0.876,0.476,8,-6.489,1,0.0506,0.485,1.14e-06,0.0519,0.582,97.528,0,0.999534580226479,1.1026194392497912e-301,3.187074572355301e-07,0.0004651010660635829
