track_id,track_name,track_artist,playlist_genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
7nMrNxioYZvJDHkklyO1Cn,We Hear You,Travel With The Sun,rock,0.485,0.512,9,-7.069,1,0.034,0.00826,0.0,0.103,0.33,145.932
6te1QldCR1BWiNgwZADpu4,A1,DARKSIDE,pop,0.718,0.287,11,-12.835,0,0.181,0.489,0.836,0.0995,0.118,176.112
4mNOezZPgOhiVLf0T3U2H2,By Your Side,Lucas Estrada,latin,0.654,0.803,10,-5.137,1,0.0544,0.254,0.000993,0.579,0.517,119.991
7piXNyrajEfqhOkzgDq2Ts,Me llama,Beret,latin,0.682,0.55,1,-5.91,1,0.105,0.175,0.0,0.116,0.271,90.727
0LQmFbjbesF6XNwn427exG,Mad Love - Cheat Codes Remix,Sean Paul,edm,0.524,0.709,4,-4.034,0,0.254,0.0195,0.0,0.0776,0.315,97.63
3LvPRA6n1Hr3ia6tGfScg6,Me Chama,MC Maneirinho,rap,0.669,0.704,2,-5.699,0,0.0883,0.432,0.0,0.205,0.402,129.913
3x1v32I3SZNvC7q7bDhcGm,Black Water - 45 Version,The Doobie Brothers,rock,0.543,0.307,2,-18.253,1,0.0414,0.334,0.0,0.044,0.649,168.169
4xb8JHIN56xixSl6vkSPjm,Siren,Kailee Morgue,pop,0.603,0.512,10,-6.687,0,0.0402,0.454,0.00014,0.154,0.271,145.91
6LsAAHotRLMOHfCsSfYCsz,If I Can't Have You,Shawn Mendes,pop,0.692,0.809,2,-4.198,1,0.0602,0.524,0.0,0.147,0.864,123.911
2tCSrGNARBfix0duHMLkGF,Another You (feat. Mr. Probz) - Pretty Pink Radio Edit,Armin van Buuren,pop,0.742,0.589,6,-6.554,0,0.0308,0.224,0.00052,0.336,0.274,122.028
1CT1dgsDKm4n0ykVyoBj3R,Overflow(変身),YonYon,pop,0.917,0.6,6,-5.362,1,0.0483,0.296,0.00159,0.0469,0.659,120.001
4UkynNKM3QAFnYukL8Udi6,Helplessness Blues,Fleet Foxes,pop,0.324,0.463,8,-7.247,1,0.0336,0.0781,5.63e-06,0.103,0.2,125.295
5Q3e16qE1RE5oilN3ukasm,Luz Apaga,Ozuna,latin,0.611,0.791,1,-3.558,1,0.173,0.19,3.02e-06,0.12,0.658,192.07
2QeCyjLDJ6qDJsCyofrEW9,Polynesia,Gazzelle,r&b,0.783,0.726,11,-5.052,1,0.0965,0.0291,2.62e-06,0.0548,0.584,124.993
2cOpRVjsE4qZLZbFOB47VJ,L.A. Boyz,Victorious Cast,pop,0.616,0.91,8,-3.316,0,0.124,0.0109,0.0,0.0806,0.714,150.038
2DAULesb1U4Qz4FSTZpEUJ,Por Fin Te Encontré,Cali Y El Dandee,latin,0.645,0.821,11,-3.679,1,0.213,0.0492,0.0,0.193,0.844,179.968
0uLdF7n18IFclndsRWaqx0,Ersatzteil,Feindflug,pop,0.601,0.957,7,-5.598,1,0.0409,0.000244,0.904,0.106,0.332,135.008
2ze3FsjHLwoT18zzAP6SMM,Starbreaker,Judas Priest,rock,0.386,0.847,6,-4.487,0,0.0965,0.00482,1.15e-06,0.0509,0.765,142.73
